"sleepday","avg_steps","avg_total_distance","avg_very_act_min","avg_fairly_act_min","avg_light_min","avg_sedentary_min","avg_calories_burned","avg_min_asleep","avg_hour_asleep"
"2016-04-12 00:00:00",8236.848484848484,5.982727248560298,22.303030303030305,7.848484848484849,199.0,1026.2121212121212,2390.6969696969695,441.9230769230769,7.365384615384615
"2016-04-13 00:00:00",7198.727272727273,5.103333316066048,20.333333333333332,10.575757575757576,181.75757575757575,1021.7878787878788,2286.6363636363635,430.42857142857144,7.173809523809524
"2016-04-14 00:00:00",7743.575757575758,5.599393962459131,20.939393939393938,12.393939393939394,201.0,1010.030303030303,2356.3939393939395,445.2307692307692,7.420512820512821
"2016-04-15 00:00:00",7533.848484848485,5.28787877704158,19.181818181818183,9.878787878787879,213.84848484848484,961.060606060606,2355.181818181818,427.47058823529414,7.124509803921568
"2016-04-16 00:00:00",8679.15625,6.291562517464627,27.84375,15.125,193.8125,1002.65625,2392.9375,391.7142857142857,6.5285714285714285
"2016-04-17 00:00:00",6409.25,4.540624960267451,18.90625,11.84375,165.34375,1049.96875,2230.96875,464.0833333333333,7.7347222222222225
"2016-04-18 00:00:00",7896.96875,5.657812474993989,24.40625,16.125,188.28125,1061.21875,2333.375,419.9,6.998333333333333
"2016-04-19 00:00:00",8048.65625,5.871874924749136,23.96875,13.78125,201.90625,1003.9375,2359.09375,409.07142857142856,6.817857142857143
"2016-04-20 00:00:00",8162.96875,5.950312543951441,24.1875,18.75,203.59375,974.125,2395.21875,446.26666666666665,7.437777777777778
"2016-04-21 00:00:00",8243.59375,6.030000067315996,26.84375,14.9375,182.65625,1031.875,2421.875,376.0,6.266666666666667
"2016-04-22 00:00:00",7446.375,5.327812472591177,24.4375,13.25,195.53125,1032.125,2327.65625,392.9230769230769,6.5487179487179485
"2016-04-23 00:00:00",8347.625,5.841250039637089,18.78125,15.03125,232.90625,959.90625,2397.15625,430.53333333333336,7.1755555555555555
"2016-04-24 00:00:00",7394.40625,5.467500027269125,21.03125,13.71875,186.3125,992.15625,2291.4375,487.3076923076923,8.121794871794872
"2016-04-25 00:00:00",7932.78125,5.63281251816079,28.40625,11.375,192.875,1038.6875,2349.5625,395.38461538461536,6.589743589743589
"2016-04-26 00:00:00",7834.0,5.534687526524067,19.8125,17.625,200.25,1025.40625,2331.375,369.2857142857143,6.154761904761905
"2016-04-27 00:00:00",8078.625,5.915312498807907,23.65625,10.78125,197.5625,1004.25,2328.5625,427.5,7.125
"2016-04-28 00:00:00",7593.625,5.361562516540289,17.96875,11.8125,209.1875,981.71875,2316.0625,398.5625,6.642708333333333
"2016-04-29 00:00:00",7321.53125,5.181249988207128,16.25,14.0,204.96875,989.78125,2272.5625,386.26666666666665,6.437777777777778
"2016-04-30 00:00:00",8346.0,6.1006451037622265,20.258064516129032,16.548387096774192,218.5483870967742,938.9032258064516,2373.935483870968,444.3333333333333,7.405555555555556
"2016-05-01 00:00:00",6895.666666666667,4.9749999940395355,22.633333333333333,15.7,160.26666666666668,953.5,2230.4333333333334,424.8125,7.080208333333333
"2016-05-02 00:00:00",7049.448275862069,4.967241364306417,16.06896551724138,13.172413793103448,186.82758620689654,1027.4137931034484,2275.448275862069,443.6923076923077,7.394871794871795
"2016-05-03 00:00:00",8558.724137931034,6.0944827448833605,24.93103448275862,14.827586206896552,203.3448275862069,1013.4137931034483,2453.896551724138,397.0,6.616666666666667
"2016-05-04 00:00:00",6763.758620689655,4.9403447919878465,13.96551724137931,11.137931034482758,179.79310344827587,1037.1724137931035,2283.137931034483,430.0,7.166666666666667
"2016-05-05 00:00:00",8731.034482758621,6.216551743704697,22.06896551724138,15.448275862068966,207.24137931034483,1032.9310344827586,2415.0689655172414,370.0,6.166666666666667
"2016-05-06 00:00:00",7492.6551724137935,5.457241375834264,20.413793103448278,11.310344827586206,201.93103448275863,1021.4827586206897,2375.0689655172414,411.6666666666667,6.861111111111111
"2016-05-07 00:00:00",7151.241379310345,5.124482771445965,20.620689655172413,14.03448275862069,181.24137931034483,953.8965517241379,2246.2413793103447,414.2857142857143,6.904761904761905
"2016-05-08 00:00:00",7049.407407407408,5.139999981279726,17.074074074074073,17.37037037037037,184.8148148148148,958.074074074074,2303.4444444444443,442.85714285714283,7.380952380952381
"2016-05-09 00:00:00",8248.814814814816,5.962962958547804,22.85185185185185,15.481481481481481,201.1851851851852,976.3333333333334,2335.6666666666665,416.1818181818182,6.9363636363636365
"2016-05-10 00:00:00",7951.423076923077,5.6661537530330515,24.192307692307693,18.653846153846153,179.34615384615384,958.6923076923077,2229.346153846154,407.4166666666667,6.790277777777778
"2016-05-11 00:00:00",7519.5,5.494583308696747,21.25,14.5,184.54166666666666,888.2083333333334,2190.0833333333335,438.54545454545456,7.3090909090909095
"2016-05-12 00:00:00",3482.3333333333335,2.443333321117929,4.190476190476191,2.142857142857143,98.80952380952381,652.0,1139.2857142857142,442.375,7.372916666666667
